record_type,medium,rho_cells_mL,D_m2_s,Cinf_uM,Km_uM,q_mol_cell_s,q_factor,A10,A50,A90,A_dead_1e3,R10_um,R50_um,R90_um,Rdead_1e3_um,R_Da1_um,depletion_at_Da1,eta_at_Da1,planar_C_over_Cinf_1e3_um
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,5.0,8.330000000000001e-20,0.1,0.418217826300986,2.731537170114002,10.672144755729535,59.331014997101875,224.067448873718,572.6391766761561,1131.887732340533,2668.81449860859,346.47946433761854,0.22412473348462636,0.9010069021507336,2497.730696078514
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,5.0,8.33e-19,1.0,0.418217826300986,2.731537170114002,10.672144755729535,59.331014997101875,70.8563487944279,181.08440757402226,357.9343289799113,843.9532468083419,109.56642697819579,0.22412473348462636,0.9010069021507336,789.85179813259
factorial_sensitivity,oxygen,1000000000.0,2e-09,5.0,5.0,8.33e-18,10.0,0.418217826300986,2.731537170114002,10.672144755729535,59.331014997101875,22.4067448873718,57.26391766761562,113.18877323405329,266.88144986085905,34.64794643376185,0.22412473348462636,0.9010069021507336,249.7730696078514
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,0.1,8.330000000000001e-20,0.1,0.201090316163493,1.0086276990053336,1.8409342525151382,2.2043587585437985,310.7442301139255,695.9418291311234,940.2138278200741,1028.84187820343,692.9589286752371,0.49574796246994735,0.9966964633145807,1083.5869062557106
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,0.1,8.33e-19,1.0,0.201090316163493,1.0086276990053336,1.8409342525151382,2.2043587585437985,98.26595369154887,220.07612990380713,297.32171834968193,325.34836872883835,219.13285395639159,0.49574796246994735,0.9966964633145807,342.66026665034013
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,0.1,8.33e-18,10.0,0.201090316163493,1.0086276990053336,1.8409342525151382,2.2043587585437985,31.07442301139255,69.59418291311235,94.02138278200741,102.88418782034299,69.2958928675237,0.49574796246994735,0.9966964633145807,108.35869062557106
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,0.5,8.330000000000001e-20,0.1,0.20545605483528057,1.043162057475908,2.009395607004634,3.211737582388286,314.0992990581198,707.7557169323155,982.2911226831409,1241.8739629778645,692.9589286752371,0.47988468889074387,0.9848346186528878,1362.5413244109009
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,0.5,8.33e-19,1.0,0.20545605483528057,1.043162057475908,2.009395607004634,3.211737582388286,99.32691964860392,223.81200925115166,310.6277273042613,392.7150289869674,219.13285395639159,0.47988468889074387,0.9848346186528878,430.87339912408277
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,0.5,8.33e-18,10.0,0.20545605483528057,1.043162057475908,2.009395607004634,3.211737582388286,31.409929905811985,70.77557169323154,98.22911226831408,124.18739629778644,69.2958928675237,0.47988468889074387,0.9848346186528878,136.25413244109006
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,1.0,8.330000000000001e-20,0.1,0.21090928022331965,1.086337227545553,2.2235846021230494,4.581943243912859,318.2404205837322,722.2537846447319,1033.3187833879265,1483.3114447799082,692.9589286752371,0.46220229494829945,0.9724850167389639,1602.8838980151745
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,1.0,8.33e-19,1.0,0.21090928022331965,1.086337227545553,2.2235846021230494,4.581943243912859,100.63645725745256,228.39670081540996,326.7640904540009,469.0642644899587,219.13285395639159,0.46220229494829945,0.9724850167389639,506.87639425369963
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,1.0,8.33e-18,10.0,0.21090928022331965,1.086337227545553,2.2235846021230494,4.581943243912859,31.824042058373223,72.2253784644732,103.33187833879265,148.33114447799082,69.2958928675237,0.46220229494829945,0.9724850167389639,160.28838980151744
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,5.0,8.330000000000001e-20,0.1,0.2545531639266818,1.432194502065142,3.977737599069876,16.02596006122412,349.62038334425984,829.2939481102086,1382.0557437328837,2774.083460353271,692.9589286752371,0.3672715860708574,0.9224736132029556,2742.645425905932
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,5.0,8.33e-19,1.0,0.2545531639266818,1.432194502065142,3.977737599069876,16.02596006122412,110.55967277890578,262.24577258217477,437.0444003513893,877.2422154117744,219.13285395639159,0.3672715860708574,0.9224736132029556,867.3006360105317
factorial_sensitivity,oxygen,1000000000.0,2e-09,20.0,5.0,8.33e-18,10.0,0.2545531639266818,1.432194502065142,3.977737599069876,16.02596006122412,34.96203833442598,82.92939481102086,138.20557437328839,277.4083460353271,69.2958928675237,0.3672715860708574,0.9224736132029556,274.2645425905931
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,0.1,8.330000000000001e-20,0.1,0.2003959398340824,1.0031344672200984,1.8141037890561804,2.169213829049196,514.4205400037794,1150.9419462666222,1547.7645918054902,1692.4857628848658,1149.1423807712054,0.49843929302051937,0.9987813930937915,1679.5773417973355
factorial_sensitivity,oxygen,1000000000.0,2e-09,55.0,0.1,8.33e-19,1.0,0.2003959398340824,1.0031344672200984,1.8141037890561804,2.169213829049196,162.67405815857055,363.9598004829654,489.4461391866133,535.2109918123848,363.39072790654876,0.49843929302051937,0.9987813930937915,531.1289906490705
